Date,Clicks,Impressions,CTR,Position
2026-03-27,0,0,,
2026-03-28,0,3,0%,76.3
2026-03-29,0,36,0%,1.3
2026-03-30,0,57,0%,60.8
2026-03-31,0,98,0%,54.9
2026-04-01,1,93,1.08%,52.1
2026-04-02,1,90,1.11%,55.9
2026-04-03,2,199,1.01%,55.6
2026-04-04,1,93,1.08%,61.7
2026-04-05,0,77,0%,59.4
2026-04-06,1,92,1.09%,60.9
2026-04-07,0,135,0%,63.8
2026-04-08,0,108,0%,57.4
2026-04-09,1,424,0.24%,63.2
2026-04-10,2,378,0.53%,49.5
2026-04-11,0,194,0%,42.3
2026-04-12,2,215,0.93%,40.1
2026-04-13,1,244,0.41%,34.9
2026-04-14,5,273,1.83%,27.5
2026-04-15,2,509,0.39%,53.1
2026-04-16,3,257,1.17%,39.8
2026-04-17,3,297,1.01%,43.2
2026-04-18,0,169,0%,40.2
2026-04-19,2,150,1.33%,41.7
2026-04-20,2,232,0.86%,45.7
2026-04-21,1,197,0.51%,35.6
2026-04-22,1,199,0.5%,48.2
2026-04-23,5,311,1.61%,53
2026-04-24,3,234,1.28%,42.2
2026-04-25,0,166,0%,38.6
2026-04-26,0,159,0%,43
