Country,Clicks,Impressions,CTR,Position
United Kingdom,9,1785,0.5%,64.07
United States,8,889,0.9%,40.93
Ireland,1,227,0.44%,64.93
Malaysia,1,17,5.88%,6.76
Pakistan,1,15,6.67%,7
France,1,8,12.5%,7
Romania,1,6,16.67%,11.67
India,0,94,0%,13.05
Australia,0,75,0%,41.01
Canada,0,47,0%,23.83
South Korea,0,35,0%,9
Indonesia,0,27,0%,7.11
South Africa,0,26,0%,59.27
Philippines,0,25,0%,6.08
Vietnam,0,24,0%,9.54
Japan,0,17,0%,9.76
Brazil,0,15,0%,24.53
Hong Kong,0,14,0%,7
Netherlands,0,12,0%,5.67
Bangladesh,0,11,0%,4.73
New Zealand,0,11,0%,52.36
Taiwan,0,10,0%,8.9
Germany,0,10,0%,10.8
Nigeria,0,9,0%,3.56
China,0,9,0%,10.67
Thailand,0,8,0%,4.88
Singapore,0,8,0%,5.75
Kenya,0,7,0%,6.43
Uganda,0,6,0%,2.33
Belgium,0,6,0%,5
Saudi Arabia,0,6,0%,8.5
Russia,0,5,0%,6.8
Bulgaria,0,4,0%,3.25
Ukraine,0,4,0%,5
Argentina,0,4,0%,7
Chile,0,4,0%,7
United Arab Emirates,0,3,0%,2.67
Spain,0,3,0%,2.67
Qatar,0,3,0%,5
Turkey,0,3,0%,5.33
Finland,0,3,0%,6
Denmark,0,3,0%,6.67
Italy,0,3,0%,7
Barbados,0,3,0%,7.33
Trinidad & Tobago,0,3,0%,8.33
Ethiopia,0,3,0%,10.33
Bosnia & Herzegovina,0,2,0%,4
Guatemala,0,2,0%,4
Rwanda,0,2,0%,4.5
Belarus,0,2,0%,5
Moldova,0,2,0%,5
Egypt,0,2,0%,5.5
Norway,0,2,0%,5.5
Ghana,0,2,0%,6
Zimbabwe,0,2,0%,6
Myanmar (Burma),0,2,0%,6.5
Colombia,0,2,0%,9
Cambodia,0,2,0%,9.5
Mexico,0,2,0%,9.5
Morocco,0,2,0%,10
Greece,0,2,0%,74
Iran,0,1,0%,1
Israel,0,1,0%,1
Jersey,0,1,0%,1
Namibia,0,1,0%,1
Paraguay,0,1,0%,1
Uzbekistan,0,1,0%,1
Algeria,0,1,0%,2
Poland,0,1,0%,2
Serbia,0,1,0%,3
Burkina Faso,0,1,0%,4
Bahamas,0,1,0%,4
Cyprus,0,1,0%,4
Lebanon,0,1,0%,4
Macau,0,1,0%,4
Palestine,0,1,0%,4
Hungary,0,1,0%,5
St. Lucia,0,1,0%,5
Panama,0,1,0%,5
Bahrain,0,1,0%,6
Georgia,0,1,0%,6
Tanzania,0,1,0%,6
Latvia,0,1,0%,7
Mongolia,0,1,0%,7
Sweden,0,1,0%,7
Nepal,0,1,0%,8
Venezuela,0,1,0%,8
Jamaica,0,1,0%,9
Kuwait,0,1,0%,9
Afghanistan,0,1,0%,10
Belize,0,1,0%,10
Croatia,0,1,0%,10
Czechia,0,1,0%,11
Kiribati,0,1,0%,11
Sri Lanka,0,1,0%,11
Mauritius,0,1,0%,12
